input,,,,,,,,,,output,
Growth Condition,VCD,Viability,"Glucose
consumed",Lactate,Ammonia,DO,pH,IgG,,IgG,VCD
A1_1,6.190 ,99.87 ,2.809 ,1.267 ,6.096 ,76.000 ,6.880 ,0.053,,0.169,11.589 
A1_1,11.589 ,99.70 ,3.235 ,1.049 ,6.371 ,57.000 ,6.910 ,0.169,,0.367,30.900 
A1_1,30.900 ,99.77 ,3.040 ,0.061 ,6.388 ,51.000 ,6.960 ,0.367,,0.583,38.000 
A1_1,38.000 ,98.49 ,3.439 ,0.059 ,10.171 ,51.000 ,7.030 ,0.583,,0.69,19.000 
A1_1,19.000 ,77.14 ,2.033 ,0.099 ,17.259 ,51.000 ,6.980 ,0.69,,0.752,7.040 
A1_2,5.740 ,99.120 ,5.004 ,3.054 ,4.765 ,71.000 ,6.980 ,0.046 ,,0.145,11.900 
A1_2,11.900 ,99.070 ,3.229 ,2.649 ,4.046 ,52.000 ,6.950 ,0.145 ,,0.353,25.700 
A1_2,25.700 ,98.970 ,2.030 ,0.922 ,1.643 ,50.000 ,7.100 ,0.353 ,,0.619,38.400 
A1_2,38.400 ,98.090 ,5.132 ,0.152 ,5.930 ,52.000 ,7.030 ,0.619 ,,0.7,21.800 
A1_2,21.800 ,88.950 ,5.910 ,0.065 ,10.222 ,56.000 ,7.140 ,0.700 ,,0.774,13.300 
A1_3,5.87,99.77,4.926,2.941,4.737,72,7.01,0.044,,0.151,12.8
A1_3,12.8,99.14,3.286,2.591,4.236,55,6.99,0.151,,0.36,27
A1_3,27,98.9,2.552,0.877,1.647,49,7.1,0.36,,0.64,46.2
A1_3,46.2,98.36,5.37,0.492,6.034,53,7.06,0.64,,0.73,22.4
A1_3,22.4,83.64,5.785,0.278,10.76,53,7.06,0.73,,0.786,12.1
A1_4,6.44,100,6.219,3.712,5.165,39,6.93,0.102,,0.311,19.6
A1_4,19.6,99.88,2.88,2.205,1.441,50,7.09,0.311,,0.594,35.3
A1_4,35.3,99.69,5.073,0.813,3.452,53,6.93,0.594,,0.71,18.7
A1_4,18.7,79.46,2.857,0.058,7.727,51,6.92,0.71,,0.788,12.6
A1_4,12.6,63.29,5.783,0.045,9.316,49,7.15,0.788,,0.808,8.42
A1_5,7.53,99.82,6.059,3.66,6.033,41,6.9,0.09,,0.289,17.1
A1_5,17.1,99.89,2.627,3.037,1.466,48,7.1,0.289,,0.554,34.2
A1_5,34.2,99.75,4.098,0.724,1.822,55,7.06,0.554,,0.704,23
A1_5,23,82.28,3.082,0.063,7.604,56,6.98,0.704,,0.818,12.4
A1_5,12.4,60.34,5.614,0.052,9.63,63,7.12,0.818,,0.842,8.47
A2_1,6.1,99.52,3.33787,1.4781,5.929,76,6.89,0.056,,0.159,8.048
A2_1,8.048,99.23,2.33468,1.27103,4.913,69,6.85,0.159,,0.328,17.5
A2_1,17.5,99.56,1.4369,0.24146,2.931,52,7,0.328,,0.586,31.8
A2_1,31.8,99.12,2.01978,0.11349,5.035,50,6.95,0.586,,0.777,28.6
A2_1,28.6,97.03,2.17806,0.17252,7.94,50,6.83,0.777,,0.791,3.36
A2_2,4.7,99.38,4.13,2.48,4.611,77,6.95,0.036,,0.124,10.1
A2_2,10.1,99.19,2.958,2.511,3.863,65,6.98,0.124,,0.275,19
A2_2,19,98.93,1.628,1.347,1.593,54,7.08,0.275,,0.542,32.3
A2_2,32.3,99.13,3.585,0.22,2.671,51,7.01,0.542,,0.804,38.1
A2_2,38.1,98.39,4.022,0.188,3.281,51,7.06,0.804,,0.899,30
A2_3,6.31,99.75,4.944,2.77,4.849,69,7.02,0.053,,0.159,12.8
A2_3,12.8,99.22,2.888,2.19,3.01,59,6.97,0.159,,0.342,21.6
A2_3,21.6,99.36,1.714,0.868,1.375,50,7.08,0.342,,0.651,33.6
A2_3,33.6,98.74,4.407,0.113,3.287,52,7.06,0.651,,0.863,34
A2_3,34,97.72,3.543,0.187,4.058,51,6.94,0.863,,0.852,10.9
A2_4,7.91,99.88,6.219,3.327,5.966,28,6.94,0.086,,0.258,15.8
A2_4,15.8,99.94,2.88,2.729,1.194,50,7.08,0.258,,0.488,27.4
A2_4,27.4,99.75,5.073,0.653,1.525,51,7.05,0.488,,0.739,35.7
A2_4,35.7,98.56,2.857,0.086,3.075,53,7,0.739,,0.905,33.1
A2_4,33.1,94.06,5.783,0.039,4.998,0,7.18,0.905,,0.897,7.96
B1_1,7.27,99.72,3.76954,1.72955,4.723,73,6.91,0.064,,0.206,13.992
B1_1,13.992,99.61,3.17735,1.23049,4.491,50,6.93,0.206,,0.449,31.4
B1_1,31.4,99.49,3.80178,0.08091,5.47,49,7.04,0.449,,0.543,11.7
B1_1,11.7,59.71,1.26377,0.07053,17.127,54,7.04,0.543,,0.566,3.73
B1_1,3.73,65.68,0.92921,0.14633,22.049,63,6.97,0.566,,0.576,0.993
B1_2,8.63,99.33,5.269,2.34,3.605,67,7.02,0.088,,0.224,16.8
B1_2,16.8,98.68,3.262,1.252,2.82,49,7.04,0.224,,0.498,31.7
B1_2,31.7,96.57,3.505,0.076,4.641,51,7.09,0.498,,0.536,14.1
B1_2,14.1,61.74,2.076,0.061,11.058,54,7.02,0.536,,0.593,7.5
B1_2,7.5,55.5,3.623,0.077,13.433,62,7.04,0.593,,0.608,3.59
B1_3,8.65,99.21,5.069,2.242,3.782,69,6.94,0.076,,0.214,17
B1_3,17,99.12,3.216,1.184,2.802,50,7.04,0.214,,0.514,33
B1_3,33,97.5,3.243,0.087,4.585,51,7.08,0.514,,0.559,16.6
B1_3,16.6,69.17,2.387,0.058,11.089,53,7.03,0.559,,0.599,7.69
B1_3,7.69,63.01,3.755,0.065,13.557,61,7.08,0.599,,0.615,2.79
B1_4,8.41,99.3,6.219,3.336,5.804,39,6.84,0.084,,0.263,17.4
B1_4,17.4,99.56,2.88,3.064,1.855,50,6.98,0.263,,0.529,28.4
B1_4,28.4,96.87,5.073,0.053,5.159,54,7.01,0.529,,0.54,11.6
B1_4,11.6,53.98,2.857,0.058,13.309,52,6.94,0.54,,0.565,4.9
B1_4,4.9,33.74,5.783,0.162,14.989,56,7.09,0.565,,0.553,3.64
B1_5,8.9,98.09,6.059,3.04,5.253,32,6.87,0.083,,0.294,19.9
B1_5,19.9,99.61,2.627,1.838,1.525,49,7.03,0.294,,0.499,26.9
B1_5,26.9,96.05,4.098,0.041,8.373,48,7.09,0.499,,0.519,10.8
B1_5,10.8,49.25,3.082,0.049,13.81,51,7.06,0.519,,0.545,6.28
B1_5,6.28,31.38,5.614,0.074,14.635,47,7.14,0.545,,0.542,4.21
B2_1,7.47,99.61,3.73306,1.73307,4.674,72,6.92,0.061,,0.181,11.033
B2_1,11.033,99.49,2.55416,1.40087,3.406,59,6.92,0.181,,0.36,19.7
B2_1,19.7,99.67,2.32391,0.11124,3.085,49,7,0.36,,0.59,28.8
B2_1,28.8,99.16,2.09365,0.06624,6.89,50,6.96,0.59,,0.737,20.9
B2_1,20.9,97.62,2.4549,0.80806,9.253,56,6.65,0.737,,0.69,2.64
B2_2,8.99,99.36,6.6,3.378,2.921,64,7.06,0.091,,0.211,12.9
B2_2,12.9,98.15,2.703,2.35,2.082,57,7.03,0.211,,0.403,19.1
B2_2,19.1,97.49,1.587,0.392,1.819,49,7.07,0.403,,0.609,29.4
B2_2,29.4,97.68,3.605,0.078,4.401,53,7.01,0.609,,0.781,23.4
B2_2,23.4,95.67,3.174,0.131,5.05,53,7,0.781,,0.882,22.7
B2_3,9.13,99.57,5.329,2.32,3.613,68,6.98,0.076,,0.195,14
B2_3,14,98.49,3.025,1.536,2.548,55,7.02,0.195,,0.392,22
B2_3,22,98.49,2.13,0.221,2.509,50,7.04,0.392,,0.592,28.3
B2_3,28.3,96.44,3.205,0.079,4.375,50,6.99,0.592,,0.738,24
B2_3,24,90.09,5.965,0.054,5.743,73,6.96,0.738,,0.651,0.0344
B2_4,8.31,99.67,6.219,3.424,5.875,35,6.74,0.082,,0.235,14.2
B2_4,14.2,99.33,2.88,4.16,1.485,55,7.01,0.235,,0.402,16.9
B2_4,16.9,98.08,5.073,1.968,1.202,38,7.07,0.402,,0.59,24.9
B2_4,24.9,96.82,2.857,0.307,2.499,52,6.99,0.59,,0.657,0.287
B2_4,0.287,1.94,5.783,0.044,5.599,0,7.24,0.657,,0.583,0.209
B2_5,9.56,99.72,6.059,2.536,5.522,36,6.77,0.092,,0.259,16.7
B2_5,16.7,99.22,2.627,2.496,1.632,49,6.99,0.259,,0.457,23.5
B2_5,23.5,99,4.098,0.506,1.972,52,7.03,0.457,,0.672,29.2
B2_5,29.2,97.49,3.082,0.08,3.219,51,6.96,0.672,,0.798,0.56
B2_5,0.56,4.93,5.614,0.04,5.583,0,7.33,0.798,,0.677,0.223
